palabra,sentimiento,emocion
rehén,negativo,enfado
Hostal,neutro,neutro
hostil,negativo,enfado
hostilidades,negativo,enfado
hostilidad,negativo,enfado
caliente,neutro,enfado
semillero,neutro,neutro
hotel,neutro,neutro
hora,neutro,neutro
reloj de arena,neutro,neutro
cada hora,neutro,neutro
casa,neutro,neutro
familiar,positivo,neutro
cabeza de familia,neutro,neutro
ama de casa,neutro,neutro
limpieza interna,positivo,neutro
ama de casa,neutro,neutro
alojamiento,neutro,neutro
aerodeslizador,neutro,neutro
aullido,negativo,enfado
comoquiera que,neutro,neutro
hoy,neutro,neutro
centro,neutro,neutro
grupo,neutro,neutro
matiz,neutro,neutro
Suspiro,negativo,enfado
abrazo,positivo,alegria
enorme,neutro,neutro
casco,neutro,disgusto
cáscara,neutro,neutro
tararear,neutro,neutro
humano,neutro,neutro
humano,positivo,neutro
humanitario,positivo,anticipacion
humanidades,neutro,neutro
humanidad,positivo,alegria
humilde,negativo,disgusto
humillado,positivo,tristeza
humildemente,positivo,neutro
farsante,negativo,enfado
húmedo,neutro,neutro
humedad,neutro,neutro
humillar,negativo,enfado
humillante,negativo,disgusto
humillación,negativo,disgusto
humildad,positivo,confianza
hummer,neutro,neutro
colibrí,neutro,neutro
gigantesco,neutro,neutro
humorista,positivo,neutro
humorístico,positivo,alegria
joroba,neutro,neutro
corazonada,negativo,neutro
ciento,neutro,neutro
centésimo,neutro,neutro
hambre,neutro,neutro
hambriento,negativo,anticipacion
pedazo,neutro,neutro
tíos buenos,neutro,neutro
caza,neutro,neutro
cazador,negativo,anticipacion
caza,negativo,enfado
lanzar,neutro,neutro
Hurra,positivo,alegria
huracán,negativo,miedo
apresurado,negativo,anticipacion
apuro,neutro,anticipacion
herir,negativo,enfado
hiriente,negativo,enfado
lastimando,negativo,enfado
agricultura,positivo,confianza
Cállate,positivo,neutro
callado,neutro,neutro
cáscara,neutro,neutro
fornido,neutro,neutro
ajetreo,neutro,neutro
estafador,negativo,neutro
cabaña,positivo,tristeza
conejera,neutro,neutro
jacinto,neutro,neutro
híbrido,neutro,neutro
hidra,negativo,miedo
hidráulica,neutro,neutro
hidrocefalia,negativo,disgusto
hidrodinámica,neutro,neutro
hidrógeno,neutro,neutro
hidrográfico,neutro,neutro
hidrología,neutro,neutro
higiene,neutro,neutro
higiénico,positivo,neutro
himno,positivo,anticipacion
bombo publicitario,negativo,anticipacion
hipérbole,negativo,neutro
hipertrofia,neutro,disgusto
guión,neutro,neutro
hipnótico,neutro,neutro
hipnotizado,neutro,neutro
hipocresía,negativo,neutro
hipócrita,negativo,disgusto
hipócrita,negativo,disgusto
hipótesis,neutro,anticipacion
hipotético,neutro,neutro
histeria,negativo,miedo
histérico,negativo,enfado
hielo,neutro,neutro
iceberg,neutro,neutro
icono,neutro,neutro
icónico,neutro,neutro
iconografía,neutro,neutro
glacial,neutro,neutro
ocurrencia,neutro,neutro
idealismo,positivo,neutro
idealista,neutro,neutro
idéntico,neutro,neutro
idénticamente,neutro,neutro
identificación,neutro,neutro
identificar,neutro,neutro
identidad,neutro,neutro
ideología,neutro,neutro
idiotez,negativo,enfado
modismo,neutro,neutro
idiomático,neutro,neutro
estúpido,negativo,disgusto
idiota,negativo,enfado
inactivo,neutro,neutro
ociosidad,neutro,neutro
ocioso,negativo,neutro
ídolo,positivo,neutro
idolatría,negativo,disgusto
iglú,neutro,neutro
ígneo,neutro,neutro
encender,neutro,neutro
encendido,neutro,neutro
ignorancia,negativo,neutro
ignorante,negativo,disgusto
pasar por alto,negativo,neutro
calaña,neutro,neutro
enfermo,negativo,enfado
ilegal,negativo,enfado
ilegalidad,negativo,enfado
ilegalmente,neutro,neutro
ilegible,negativo,neutro
ilegítimo,negativo,enfado
ilícito,negativo,enfado
analfabeto,negativo,disgusto
enfermedad,negativo,miedo
ilógico,negativo,neutro
iluminar,positivo,anticipacion
iluminación,positivo,alegria
iluminador,neutro,neutro
espejismo,negativo,sorpresa
ilustrar,positivo,neutro
ilustración,neutro,neutro
ilustrativo,neutro,neutro
ilustre,positivo,neutro
imagen,neutro,neutro
imágenes,neutro,neutro
imaginario,neutro,neutro
imaginación,neutro,neutro
imaginativo,positivo,neutro
imaginar,neutro,neutro
imaginado,neutro,neutro
imaginando,neutro,neutro
imán,neutro,neutro
incrustado,neutro,neutro
imitar,neutro,neutro
imitado,negativo,neutro
imitación,negativo,neutro
inmaculado,positivo,alegria
inmaterial,neutro,neutro
inmaduro,negativo,anticipacion
inmadurez,negativo,enfado
inconmensurable,neutro,neutro
inconmensurablemente,neutro,neutro
inmediación,neutro,sorpresa
inmediatamente,negativo,anticipacion
inmemorial,neutro,neutro
inmenso,positivo,neutro
sumergirse,positivo,anticipacion
inmersión,neutro,neutro
inmigrante,neutro,miedo
inmigración,neutro,neutro
inminente,neutro,anticipacion
inmoral,negativo,enfado
inmoralidad,negativo,enfado
inmortal,positivo,neutro
inmortalidad,neutro,anticipacion
inamovible,negativo,confianza
inmune,neutro,neutro
inmunidad,neutro,neutro
inmunización,neutro,confianza
inmutable,neutro,neutro
diablillo,neutro,neutro
impacto,neutro,neutro
perjudicar,negativo,neutro
discapacidad,negativo,neutro
impartir,positivo,confianza
imparcial,positivo,confianza
imparcialidad,positivo,confianza
infranqueable,negativo,neutro
apasionado,neutro,neutro
impaciencia,negativo,neutro
impaciente,negativo,anticipacion
procesar,negativo,disgusto
el proceso de destitución,negativo,neutro
impecable,positivo,confianza
impedir,negativo,neutro
impedimento,neutro,neutro
impulsado,neutro,neutro
inminente,neutro,anticipacion
impenetrable,neutro,confianza
imperativo,neutro,neutro
imperceptible,neutro,neutro
imperfección,negativo,neutro
imperfectamente,negativo,neutro
imperial,neutro,neutro
impermeable,neutro,enfado
inadmisible,neutro,neutro
impersonal,neutro,neutro
personificar,negativo,neutro
interpretación,negativo,neutro
impermeable,positivo,neutro
ímpetu,neutro,neutro
implacable,negativo,neutro
implante,neutro,neutro
implantación,neutro,neutro
implantado,neutro,neutro
implementar,neutro,neutro
implicar,negativo,enfado
implicado,neutro,neutro
implicación,neutro,neutro
implícito,neutro,neutro
implorar,neutro,neutro
implosión,neutro,neutro
implicar,neutro,neutro
descortés,negativo,disgusto
importar,neutro,neutro
importancia,positivo,anticipacion
importante,positivo,confianza
importación,neutro,neutro
imponer,neutro,neutro
imponente,neutro,neutro
imposición,negativo,neutro
imposibilidad,neutro,neutro
imposible,negativo,tristeza
impotencia,negativo,enfado
impotente,negativo,neutro
confiscar,negativo,neutro
impracticable,negativo,neutro
impresionar,positivo,neutro
impresión,positivo,neutro
impresionable,neutro,confianza
imprimir,neutro,neutro
encarcelar,negativo,neutro
encarcelado,negativo,enfado
prisión,negativo,enfado
improbable,neutro,neutro
improvisado,neutro,neutro
impropiedad,negativo,neutro
mejorar,positivo,anticipacion
mejorado,positivo,neutro
mejora,positivo,alegria
mejorando,positivo,neutro
improvisación,neutro,sorpresa
improvisar,positivo,anticipacion
improvisado,neutro,neutro
imprudente,negativo,tristeza
impulso,neutro,neutro
impunidad,neutro,neutro
impuro,negativo,disgusto
impureza,negativo,disgusto
imputación,negativo,neutro
incapacidad,negativo,tristeza
inaccesible,negativo,neutro
incorrecto,negativo,neutro
en acción,negativo,neutro
inactivar,neutro,neutro
inactivación,neutro,neutro
inactivo,neutro,neutro
inactividad,negativo,neutro
insuficiencia,negativo,neutro
inadecuado,negativo,tristeza
inadmisible,negativo,enfado
inadvertido,neutro,neutro
por inadvertencia,neutro,neutro
inalienable,positivo,neutro
inane,negativo,neutro
inanimado,neutro,neutro
inaplicable,negativo,neutro
inadecuado,negativo,enfado
inatención,negativo,enfado
inaudible,negativo,neutro
inaugural,neutro,anticipacion
inaugurar,neutro,neutro
inauguración,positivo,anticipacion
innato,neutro,neutro
innato,neutro,neutro
incalculable,negativo,neutro
incandescente,neutro,neutro
incapaz,neutro,neutro
incapacidad,negativo,neutro
encarcelamiento,negativo,enfado
en caso,negativo,enfado
incendiario,negativo,enfado
incienso,negativo,enfado
incentivo,neutro,neutro
comienzo,neutro,neutro
incesante,negativo,neutro
incesantemente,neutro,neutro
incesto,negativo,enfado
incestuoso,negativo,disgusto
pulgada,neutro,neutro
incidencia,neutro,neutro
incidente,neutro,sorpresa
de paso,neutro,neutro
incineración,negativo,neutro
incipiente,neutro,neutro
incisión,neutro,neutro
incisivo,positivo,neutro
incitar,negativo,enfado
incitación,neutro,neutro
inclemente,negativo,neutro
inclinación,neutro,neutro
inclinación,neutro,confianza
inclinado,neutro,neutro
incluir,positivo,neutro
incluido,positivo,neutro
incluido,positivo,neutro
inclusión,neutro,confianza
inclusivo,positivo,neutro
incógnito,neutro,neutro
incoherente,negativo,neutro
ingreso,negativo,anticipacion
entrante,neutro,neutro
incompatible,negativo,enfado
incompetencia,negativo,neutro
incompetente,negativo,enfado
incompletamente,neutro,neutro
incompletitud,negativo,neutro
incomprensible,negativo,neutro
poco concluyente,neutro,neutro
incongruente,negativo,enfado
inconsecuente,negativo,tristeza
desconsiderado,negativo,enfado
inconsecuencia,negativo,neutro
discreto,neutro,neutro
incontinencia,neutro,sorpresa
inconveniente,negativo,enfado
incorporar,neutro,neutro
incorporación,neutro,neutro
incorrecto,negativo,neutro
aumentar,positivo,neutro
aumentó,neutro,neutro
incrédulo,negativo,enfado
incremento,neutro,neutro
incriminación,negativo,miedo
incubación,neutro,neutro
íncubo,negativo,disgusto
incurrir en,negativo,neutro
incurable,negativo,enfado
incursión,negativo,miedo
endeudado,neutro,neutro
indecencia,neutro,enfado
indecente,negativo,disgusto
indecisión,negativo,neutro
indeciso,negativo,neutro
indefendible,negativo,miedo
indeleble,positivo,confianza
indemnización,neutro,neutro
indemnizar,negativo,neutro
indemnidad,positivo,confianza
sangrar,neutro,confianza
sangría,neutro,neutro
escritura,negativo,enfado
independencia,positivo,anticipacion
independiente,neutro,neutro
indescriptible,neutro,neutro
indestructible,positivo,confianza
indeterminado,negativo,neutro
índice,neutro,neutro
indicando,neutro,neutro
indicación,neutro,neutro
indicativo,neutro,neutro
indicador,neutro,neutro
índice,neutro,neutro
procesar,negativo,enfado
acusación,negativo,miedo
indiferencia,negativo,enfado
indígena,neutro,neutro
indigente,negativo,tristeza
indigestión,neutro,neutro
indignado,negativo,enfado
indignación,negativo,enfado
índigo,neutro,neutro
indirecto,neutro,neutro
indispensable,neutro,neutro
indistinto,negativo,neutro
indistinguible,neutro,neutro
individualidad,positivo,neutro
indivisible,neutro,confianza
adoctrinamiento,negativo,enfado
indolente,negativo,neutro
indomable,positivo,miedo
interior,neutro,neutro
inducir,neutro,neutro
inducido,neutro,neutro
inducción,neutro,neutro
inducción,neutro,neutro
complacer,neutro,neutro
indulgencia,neutro,neutro
indulgente,neutro,neutro
industrioso,neutro,neutro
industria,neutro,neutro
inefable,positivo,neutro
ineficaz,negativo,neutro
ineficaz,negativo,disgusto
ineficacia,negativo,disgusto
ineficiente,negativo,tristeza
no elástico,neutro,neutro
inelegible,neutro,neutro
inepto,negativo,enfado
ineptitud,negativo,disgusto
desigualdad,negativo,enfado
injusto,negativo,neutro
inerte,negativo,neutro
inercia,neutro,neutro
inevitable,neutro,neutro
inexacto,neutro,neutro
inexcusable,negativo,enfado
inagotable,neutro,neutro
barato,positivo,neutro
inexperiencia,negativo,neutro
inexperto,negativo,neutro
inexplicable,negativo,sorpresa
infalibilidad,neutro,confianza
infalible,positivo,neutro
infame,negativo,enfado
infamia,negativo,tristeza
infancia,neutro,neutro
niño,positivo,anticipacion
infanticidio,negativo,enfado
infantil,negativo,enfado
infantería,neutro,neutro
infarto,negativo,miedo
Obsesión,neutro,neutro
inviable,neutro,neutro
infectar,negativo,disgusto
infección,negativo,miedo
infeccioso,negativo,disgusto
inferir,neutro,neutro
inferencia,neutro,neutro
inferencial,neutro,neutro
inferior,negativo,tristeza
inferioridad,negativo,neutro
infierno,negativo,enfado
estéril,neutro,neutro
esterilidad,negativo,tristeza
infestación,negativo,disgusto
infiel,negativo,enfado
infidelidad,negativo,enfado
infiltración,negativo,neutro
infinito,positivo,neutro
infinitamente,neutro,neutro
infinitesimal,neutro,neutro
infinito,positivo,anticipacion
enfermizo,negativo,neutro
enfermería,neutro,neutro
enfermedad,negativo,miedo
inflamación,negativo,neutro
inflado,negativo,neutro
inflación,negativo,miedo
inflexión,neutro,neutro
infligir,negativo,enfado
imposición,negativo,miedo
inflorescencia,neutro,neutro
influencia,negativo,neutro
influyente,positivo,confianza
influenza,negativo,neutro
afluencia,neutro,neutro
informar,neutro,confianza
informal,neutro,neutro
informante,neutro,neutro
información,positivo,neutro
informado,neutro,neutro
informador,negativo,neutro
infracción,negativo,enfado
infrecuente,neutro,sorpresa
con poca frecuencia,negativo,neutro
infracción,negativo,neutro
infundir,neutro,neutro
infundido,neutro,neutro
infusión,neutro,neutro
ingenioso,positivo,neutro
ingenio,neutro,neutro
ingerir,neutro,neutro
ingestión,neutro,neutro
lingote,neutro,neutro
arraigado,neutro,neutro
ingrediente,neutro,neutro
ingreso,neutro,neutro
habitar,neutro,neutro
habitante,neutro,neutro
poblado,neutro,neutro
habitando,neutro,neutro
inhalación,neutro,neutro
inhalar,neutro,neutro
inherente,neutro,neutro
heredar,neutro,neutro
herencia,positivo,anticipacion
inhibir,negativo,enfado
inhibición,neutro,neutro
inhóspito,negativo,tristeza
inhumano,negativo,enfado
inhumanidad,negativo,tristeza
hostil,negativo,enfado
inimitable,positivo,confianza
iniquidad,negativo,disgusto
inicial,neutro,neutro
iniciado,neutro,neutro
iniciado,neutro,neutro
iniciativa,neutro,neutro
inyectar,neutro,neutro
inyección,neutro,miedo
mandato,negativo,neutro
lesionar,negativo,enfado
herido,negativo,miedo
perjudicial,negativo,enfado
lesión,negativo,enfado
injusticia,negativo,enfado
tinta,neutro,neutro
indicio,neutro,neutro
interior,neutro,neutro
embutido,neutro,neutro
entrada,neutro,neutro
preso,negativo,disgusto
Posada,neutro,neutro
innato,neutro,neutro
interior,neutro,neutro
entrada,neutro,neutro
posadero,neutro,neutro
inocencia,positivo,neutro
inocente,positivo,confianza
inocentemente,positivo,neutro
inocuo,positivo,neutro
innovar,positivo,neutro
innovación,positivo,neutro
insinuación,neutro,neutro
innumerable,neutro,neutro
inoculación,neutro,anticipacion
inoperante,negativo,enfado
desordenado,neutro,neutro
inorgánico,neutro,neutro
encuesta,neutro,neutro
preguntar,neutro,neutro
investigador,positivo,neutro
preguntando,neutro,neutro
consulta,positivo,anticipacion
inquisitivo,positivo,neutro
loco,negativo,enfado
locura,negativo,enfado
inscripción,neutro,neutro
inescrutable,neutro,neutro
insecto,neutro,neutro
inseguro,negativo,enfado
inseguridad,negativo,miedo
inseparable,positivo,alegria
insertar,neutro,neutro
insertado,neutro,neutro
inserción,neutro,neutro
en el interior,neutro,neutro
insidioso,negativo,enfado
visión,neutro,neutro
insignias,positivo,neutro
insignificancia,negativo,neutro
insignificante,negativo,enfado
insípido,negativo,neutro
insistir,neutro,neutro
insolente,negativo,neutro
insoluble,neutro,neutro
insolvencia,negativo,miedo
insolvente,negativo,miedo
inspeccionar,neutro,neutro
inspector,positivo,neutro
inspiración,positivo,anticipacion
inspirar,positivo,anticipacion
inspirado,positivo,alegria
inestabilidad,negativo,disgusto
Instalar en pc,neutro,anticipacion
instalación,neutro,neutro
entrega,neutro,neutro
instancia,neutro,neutro
instante,neutro,neutro
instantáneo,neutro,neutro
instantáneamente,neutro,neutro
instigar,negativo,neutro
instigación,negativo,neutro
instilar,neutro,neutro
instinto,neutro,neutro
instintivo,positivo,enfado
instituto,neutro,confianza
institución,neutro,neutro
instruir,positivo,confianza
instruido,neutro,neutro
instrucción,positivo,confianza
instructivo,neutro,neutro
instrucciones,neutro,anticipacion
instructivo,neutro,neutro
instructor,positivo,anticipacion
instrumento,neutro,neutro
instrumental,positivo,neutro
instrumentista,neutro,neutro
mediación,neutro,neutro
insuficiencia,negativo,enfado
insuficiente,negativo,neutro
insuficientemente,negativo,neutro
insular,neutro,neutro
aislar,neutro,neutro
aislamiento,neutro,confianza
insulto,negativo,enfado
insultante,negativo,enfado
seguro,neutro,neutro
asegurar,positivo,confianza
insurgente,negativo,neutro
insuperable,negativo,miedo
insurrección,negativo,enfado
intacto,positivo,confianza
intangible,neutro,neutro
entero,neutro,neutro
integral,neutro,neutro
integrar,neutro,neutro
integración,neutro,neutro
integridad,positivo,confianza
intelecto,positivo,neutro
intelectual,positivo,neutro
inteligencia,positivo,miedo
inteligente,positivo,confianza
inteligibilidad,neutro,neutro
inteligible,neutro,neutro
pretender,neutro,confianza
destinado,positivo,anticipacion
con la intención,neutro,neutro
intenso,negativo,enfado
intensamente,neutro,neutro
intensificar,neutro,neutro
intensidad,neutro,neutro
intención,neutro,neutro
intención,neutro,neutro
intencional,neutro,neutro
intencionalmente,neutro,neutro
enterrar,negativo,tristeza
Interacción,neutro,neutro
interceder,neutro,miedo
interceptar,neutro,neutro
interceptación,neutro,neutro
intercesión,neutro,confianza
intercambio,neutro,neutro
intercambiable,neutro,neutro
intercambiado,neutro,neutro
intercomunicador,neutro,neutro
coito,positivo,neutro
interdependencia,neutro,neutro
interdependiente,neutro,neutro
interdicción,negativo,neutro
interés,positivo,neutro
interesado,positivo,disgusto
interesante,positivo,neutro
interferencia,negativo,neutro
interferómetro,neutro,neutro
provisional,neutro,anticipacion
interior,positivo,disgusto
interlocutorio,positivo,neutro
interludio,positivo,neutro
intermediario,neutro,neutro
intermedio,neutro,neutro
entierro,negativo,tristeza
interminable,negativo,enfado
descanso,neutro,anticipacion
intermitente,neutro,neutro
interno,neutro,neutro
interno,neutro,neutro
internamente,neutro,neutro
internacional,neutro,neutro
interpolar,neutro,neutro
interpolación,neutro,neutro
interpretar,neutro,neutro
interpretación,neutro,neutro
Interprete,neutro,neutro
interrelacionado,neutro,neutro
interrogar,neutro,miedo
interrogatorio,neutro,miedo
interrumpir,negativo,enfado
interrumpido,negativo,tristeza
interrupción,neutro,neutro
intersecarse,neutro,neutro
intersección,neutro,neutro
intersticial,neutro,neutro
intervalo,neutro,neutro
interviniendo,neutro,neutro
intervención,negativo,tristeza
entrevista,neutro,neutro
entrevistador,neutro,miedo
interfuncionamiento,neutro,neutro
intestado,negativo,neutro
intestinal,neutro,disgusto
intestino,neutro,neutro
intestinos,neutro,neutro
intimidad,neutro,neutro
íntimo,positivo,anticipacion
íntimamente,neutro,anticipacion
intimación,neutro,neutro
intimidar,negativo,miedo
intimidación,negativo,enfado
intolerable,negativo,enfado
intolerancia,negativo,enfado
intolerante,negativo,enfado
entonación,positivo,neutro
embriagado,negativo,disgusto
intoxicación,neutro,neutro
intratable,negativo,enfado
intramuros,neutro,neutro
intrépido,positivo,neutro
intrincado,neutro,neutro
intriga,negativo,anticipacion
intrigante,neutro,neutro
intrínseco,neutro,neutro
intrínsecamente,neutro,neutro
Introducción,neutro,neutro
introductorio,neutro,neutro
introspección,neutro,neutro
introspectivo,neutro,neutro
intruso,negativo,enfado
intrusión,negativo,miedo
intruso,negativo,enfado
intuición,positivo,confianza
intuitivo,positivo,neutro
intuitivamente,neutro,anticipacion
inundación,neutro,neutro
invadir,negativo,enfado
invasor,negativo,enfado
inválido,neutro,tristeza
invalidar,negativo,neutro
invalidación,negativo,neutro
invalidez,negativo,neutro
inestimable,neutro,neutro
invariablemente,positivo,neutro
invasión,negativo,enfado
inventar,neutro,neutro
invención,neutro,neutro
inventivo,positivo,neutro
inventor,positivo,neutro
inventario,neutro,neutro
inverso,neutro,neutro
inversamente,neutro,neutro
inversión,neutro,neutro
invertir,neutro,neutro
invertido,neutro,neutro
investigar,positivo,neutro
investigación,neutro,anticipacion
investigador,neutro,neutro
inversor,neutro,neutro
vigorizar,positivo,neutro
invencible,neutro,neutro
invisibilidad,neutro,neutro
invisible,neutro,neutro
invitación,positivo,anticipacion
invitar,positivo,anticipacion
atractivo,positivo,anticipacion
invocación,neutro,anticipacion
factura,neutro,neutro
invocar,neutro,anticipacion
involuntario,negativo,neutro
involución,negativo,enfado
intervención,neutro,enfado
hacia adentro,neutro,neutro
iota,neutro,neutro
airado,negativo,enfado
ira,negativo,enfado
iridiscente,neutro,neutro
iris,neutro,miedo
planchar,positivo,confianza
irónico,neutro,neutro
hierros,negativo,neutro
ironía,neutro,neutro
irradiación,neutro,neutro
irracional,negativo,disgusto
irracionalidad,negativo,neutro
irreconciliable,negativo,enfado
irreducible,positivo,neutro
irrefutable,positivo,confianza
irregular,negativo,neutro
irregularidad,negativo,neutro
irregularmente,neutro,neutro
irrelevante,negativo,neutro
irreparable,negativo,miedo
irreprimible,neutro,neutro
irresistible,neutro,neutro
desconsiderado,neutro,neutro
irresponsable,negativo,neutro
irreverente,negativo,neutro
irreversible,neutro,neutro
irrevocable,negativo,neutro
irrigar,neutro,neutro
irrigación,neutro,neutro
irritabilidad,negativo,enfado
irritable,negativo,enfado
irritante,negativo,enfado
irritación,negativo,enfado
isla,neutro,neutro
isla,neutro,neutro
isleta,neutro,neutro
aislar,neutro,tristeza
aislado,negativo,miedo
aislamiento,negativo,tristeza
isomorfismo,neutro,neutro
isotérmico,neutro,neutro
tema,neutro,neutro
picar,neutro,neutro
Comezón,neutro,neutro
artículo,neutro,neutro
detallar,neutro,neutro
elementos,neutro,neutro
iterar,neutro,neutro
iteración,neutro,neutro
iterativo,neutro,neutro
itinerante,neutro,neutro
itinerario,neutro,neutro
Marfil,neutro,neutro
pinchazo,neutro,enfado
farfullar,negativo,neutro
Jack,neutro,neutro
burro,neutro,neutro
bote,positivo,anticipacion
tomas,neutro,neutro
jade,neutro,neutro
punta,neutro,neutro
dentado,neutro,neutro
jaguar,neutro,neutro
celda,negativo,miedo
mermelada,positivo,neutro
apretado,neutro,neutro
conserje,neutro,disgusto
Japón,neutro,neutro
frasco,neutro,neutro
jerga,negativo,neutro
discorde,negativo,miedo
jaspe,neutro,neutro
ictericia,negativo,miedo
excursión,neutro,neutro
jabalina,neutro,neutro
mandíbula,neutro,neutro
mandíbulas,neutro,miedo
arrendajo,neutro,neutro
celoso,negativo,enfado
celos,negativo,enfado
pantalones,neutro,neutro
todoterreno,neutro,neutro
gelatina,neutro,neutro
jenny,neutro,neutro
poner en peligro,negativo,enfado
peligro,negativo,anticipacion
imbécil,neutro,enfado
jersey,neutro,neutro
broma,positivo,alegria
bufón,neutro,neutro
chorro,neutro,neutro
embarcadero,neutro,neutro
joya,neutro,neutro
joyero,neutro,neutro
joyas,neutro,neutro
foque,neutro,neutro
instante,neutro,neutro
palanqueta,neutro,neutro
tintineo,neutro,neutro
trabajo,positivo,neutro
deportista,neutro,neutro
jockey,neutro,neutro
empujoncito,neutro,neutro
Juan,negativo,disgusto
unirse,positivo,neutro
unido,positivo,neutro
unión,neutro,neutro
articulación,neutro,neutro
conjuntamente,neutro,neutro
broma,negativo,neutro
bufón,positivo,alegria
bromas,positivo,neutro
sacudida,neutro,sorpresa
jornada,negativo,neutro
jota,neutro,neutro
diario,neutro,neutro
periodismo,neutro,confianza
periodista,positivo,neutro
viaje,positivo,anticipacion
oficial,neutro,confianza
jovial,positivo,alegria
alegría,positivo,alegria
alegre,positivo,alegria
jubiloso,positivo,alegria
jubiloso,positivo,alegria
aniversario,positivo,alegria
juez,neutro,neutro
juzgar,neutro,neutro
juicio,neutro,sorpresa
judicial,positivo,anticipacion
judicial,neutro,anticipacion
juicioso,positivo,confianza
jarra,neutro,neutro
hacer juegos malabares,neutro,neutro
malabares,neutro,neutro
jugo,neutro,neutro
jugoso,neutro,neutro
revoltijo,negativo,neutro
revoltijado,neutro,neutro
jumbo,neutro,neutro
salto,positivo,alegria
unión,neutro,neutro
coyuntura,neutro,neutro
selva,neutro,miedo
júnior,neutro,neutro
basura,negativo,neutro
junta,negativo,neutro
jurídico,neutro,neutro
jurisdicción,neutro,neutro
jurisprudencia,neutro,tristeza
jurista,neutro,confianza
jurado,neutro,confianza
justicia,positivo,confianza
justificable,positivo,confianza
justificación,positivo,neutro
justificar,neutro,neutro
yute,neutro,neutro
juvenil,negativo,neutro
yuxtaposición,neutro,neutro
emperador,neutro,neutro
caleidoscopio,neutro,neutro
canguro,neutro,neutro
kanji,neutro,neutro
karma,neutro,neutro
kayac,neutro,neutro
quilla,neutro,neutro
guardián,neutro,neutro
acuerdo,neutro,neutro
recuerdo,positivo,neutro
barrilete,neutro,neutro
conocido,positivo,neutro
perrera,neutro,tristeza
núcleo,negativo,neutro
núcleo,neutro,neutro
queroseno,neutro,miedo
tetera,neutro,neutro
llave,neutro,neutro
ojo de cerradura,neutro,neutro
fundamental,positivo,neutro
piedra clave,positivo,neutro
caqui,neutro,neutro
kan,neutro,miedo
patada,negativo,enfado
pateando,neutro,enfado
niño,neutro,neutro
bromear,neutro,neutro
secuestrar,negativo,enfado
matar,negativo,miedo
asesinato,negativo,enfado
horno,neutro,neutro
kilogramo,neutro,neutro
kilómetro,neutro,neutro
falda escocesa,neutro,neutro
kimono,neutro,neutro
familiares,neutro,neutro
tipo,positivo,alegria
jardín de infancia,neutro,neutro
amabilidad,positivo,neutro
parientes,positivo,anticipacion
cinemática,neutro,neutro
rey,positivo,neutro
Reino,neutro,neutro
pliegue,neutro,neutro
rizado,neutro,neutro
quiosco,neutro,neutro
iglesia,neutro,neutro
Beso,positivo,anticipacion
equipo,neutro,neutro
cocina,neutro,neutro
cometa,negativo,disgusto
gatito,positivo,alegria
maña,positivo,neutro
mochila,neutro,neutro
amasar,neutro,neutro
rodilla,neutro,neutro
arrodillarse,neutro,neutro
arrodillado,neutro,neutro
toque de difuntos,negativo,miedo
bragas,neutro,confianza
cuchillo,neutro,neutro
caballero,positivo,neutro
tejer,neutro,neutro
mando,neutro,neutro
golpear,neutro,neutro
loma,neutro,neutro
nudo,neutro,neutro
anudado,negativo,neutro
conocimiento,positivo,neutro
sabiendas,neutro,neutro
conocimiento,positivo,neutro
nudillo,neutro,neutro
isla de Cos,neutro,neutro
Kris,neutro,neutro
prestigio,positivo,alegria
laboratorio,neutro,neutro
etiqueta,neutro,confianza
mano de obra,positivo,anticipacion
laboratorio,neutro,neutro
trabajado,negativo,tristeza
obrero,neutro,neutro
obrero,neutro,neutro
laborioso,negativo,neutro
laberinto,negativo,anticipacion
laca,neutro,neutro
cordón,negativo,enfado
falta,negativo,neutro
carente,negativo,neutro
deslucido,negativo,neutro
barniz,neutro,neutro
lacrosse,neutro,neutro
muchacho,neutro,neutro
escalera,neutro,neutro
cargado,negativo,neutro
flete,neutro,neutro
cucharón,neutro,neutro
dama,neutro,neutro
retraso,negativo,neutro
rezagado,negativo,enfado
laguna,neutro,neutro
guarida,negativo,neutro
laicado,neutro,neutro
lago,neutro,neutro
lama,neutro,neutro
cordero,positivo,alegria
lamento,negativo,disgusto
lamentándose,neutro,tristeza
lámina,neutro,neutro
laminado,neutro,neutro
lámpara,neutro,neutro
lanza,neutro,neutro
lancero,neutro,neutro
tierra,positivo,neutro
aterrizado,positivo,neutro
aterrizaje,neutro,neutro
cercado de tierra,neutro,neutro
dueño,neutro,neutro
punto de referencia,neutro,confianza
tierras,neutro,neutro
paisaje,neutro,neutro
paisajismo,neutro,neutro
deslizamiento de tierra,negativo,miedo
carril,neutro,neutro
idioma,neutro,neutro
lánguido,negativo,neutro
languidecer,negativo,neutro
languideciendo,negativo,miedo
larguirucho,neutro,neutro
linterna,neutro,neutro
vuelta,neutro,neutro
solapa,neutro,neutro
lapso,negativo,neutro
transcurrido,neutro,neutro
hurto,negativo,disgusto
manteca de cerdo,neutro,neutro
despensa,neutro,neutro
largo,neutro,neutro
más grande,neutro,disgusto
largo,neutro,neutro
alondra,neutro,neutro
larva,neutro,neutro
laringe,neutro,neutro
láser,positivo,confianza
latigazo,negativo,enfado
muchacha,neutro,neutro
lazo,neutro,neutro
